File	Read_Count
2023-1-VBS-SP-LE-1-16S_S121_L001_R1_001.fastq.gz	15657
2023-1-VBS-SP-LE-1-16S_S121_L001_R2_001.fastq.gz	15657
2023-1-VBS-SP-LE-2-16S_S123_L001_R1_001.fastq.gz	24389
2023-1-VBS-SP-LE-2-16S_S123_L001_R2_001.fastq.gz	24389
2023-1-VBS-SP-LE-3-16S_S125_L001_R1_001.fastq.gz	17474
2023-1-VBS-SP-LE-3-16S_S125_L001_R2_001.fastq.gz	17474
2023-2-ASB-CL-LE-1-16S_S168_L001_R1_001.fastq.gz	26762
2023-2-ASB-CL-LE-1-16S_S168_L001_R2_001.fastq.gz	26762
2023-2-ASB-CL-LE-2-16S_S169_L001_R1_001.fastq.gz	16846
2023-2-ASB-CL-LE-2-16S_S169_L001_R2_001.fastq.gz	16846
2023-2-ASB-CL-LE-3-16S_S170_L001_R1_001.fastq.gz	16733
2023-2-ASB-CL-LE-3-16S_S170_L001_R2_001.fastq.gz	16733
2023-2-ASB-EM-LE-1-16S_S183_L001_R1_001.fastq.gz	21831
2023-2-ASB-EM-LE-1-16S_S183_L001_R2_001.fastq.gz	21831
2023-2-ASB-EM-LE-2-16S_S184_L001_R1_001.fastq.gz	19994
2023-2-ASB-EM-LE-2-16S_S184_L001_R2_001.fastq.gz	19994
2023-2-ASB-EM-LE-3-16S_S185_L001_R1_001.fastq.gz	15582
